ID,B,C,D,rB,rC,rD,value
93670,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.6,0.3,0.1,0.067
93671,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.8,0.1,0.1,0.062
93680,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.2,0.2,0.6,0.723
93682,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.2,0.6,0.2,0.164666667
93683,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.4,0.2,0.4,0.43
93684,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.4,0.4,0.2,0.064
93685,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.6,0.1,0.3,0.074
93686,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.6,0.3,0.1,0.063
93687,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)C(N)=O)c1,0.8,0.1,0.1,0.064
93692,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.4,0.4,0.2,0.901
93693,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.6,0.1,0.3,0.381
93694,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.6,0.3,0.1,0.374
93695,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.8,0.1,0.1,0.066
93756,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)CN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCCCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCO)c1,0.4,0.4,0.2,0.995333333
94148,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)CN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(CC)CCCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.4,0.4,0.2,0.698333333
